"Gene_ID","Module"
"gene-MLF2|MLF2","turquoise"
"gene-LOC116807936|LOC116807936","lightyellow"
"gene-LOC100190249|LOC100190249","turquoise"
"gene-ENO2|ENO2","orange"
"gene-ATN1|ATN1","magenta"
"gene-USP5|USP5","pink"
"gene-TPI1|TPI1","greenyellow"
"gene-LRRC23|LRRC23","turquoise"
"gene-C1H12orf57|C1H12orf57","magenta"
"gene-PTPN6|PTPN6","green"
"gene-PHB2|PHB2","turquoise"
"gene-EMG1|EMG1","midnightblue"
"gene-LPCAT3|LPCAT3","brown"
"gene-C1S|C1S","purple"
"gene-C1R|C1R","purple"
"gene-RBP5|RBP5","royalblue"
"gene-CLSTN3|CLSTN3","purple"
"gene-LOC100221073|LOC100221073","turquoise"
"gene-LOC100226894|LOC100226894","purple"
"gene-PEX5|PEX5","brown"
"gene-CLCN1|CLCN1","turquoise"
"gene-ZYX|ZYX","blue"
"gene-FAM131B|FAM131B","pink"
"gene-EPHA1|EPHA1","turquoise"
"gene-CASP2|CASP2","black"
"gene-TMEM139|TMEM139","blue"
"gene-LOC100230753|LOC100230753","yellow"
"gene-GSTK1|GSTK1","turquoise"
"gene-KEL|KEL","lightcyan"
"gene-EPHB6|EPHB6","darkgrey"
"gene-LOC100224083|LOC100224083","darkgrey"
"gene-LOC101233739|LOC101233739","tan"
"gene-LOC140683595|LOC140683595","tan"
"gene-LOC115497448|LOC115497448","yellow"
"gene-LOC100221157|LOC100221157","lightcyan"
"gene-LOC115497447|LOC115497447","tan"
"gene-LOC121469592|LOC121469592","tan"
"gene-LOC101233700|LOC101233700","purple"
"gene-PRMT8|PRMT8","grey"
"gene-CRACR2A|CRACR2A","red"
"gene-PARP11|PARP11","turquoise"
"gene-TEAD4|TEAD4","blue"
"gene-TULP3|TULP3","black"
"gene-TSPAN9|TSPAN9","turquoise"
"gene-FOXM1|FOXM1","darkorange"
"gene-RHNO1|RHNO1","orangered4"
"gene-NRIP2|NRIP2","orangered4"
"gene-ITFG2|ITFG2","red"
"gene-LOC140683648|LOC140683648","yellow"
"gene-FKBP4|FKBP4","lightgreen"
"gene-TCAF2|TCAF2","green"
"gene-LOC101233542|LOC101233542","violet"
"gene-LOC115494350|LOC115494350","black"
"gene-LOC101233523|LOC101233523","lightcyan1"
"gene-LOC101233586|LOC101233586","blue"
"gene-NECAP1|NECAP1","saddlebrown"
"gene-C3AR1|C3AR1","yellow"
"gene-FOXJ2|FOXJ2","darkmagenta"
"gene-LOC100224972|LOC100224972","green"
"gene-AICDA|AICDA","tan"
