"GeneID","Symbol"
"gene-PPT2|PPT2","PPT2"
"gene-SNRPD3|SNRPD3","SNRPD3"
"gene-CCN5|CCN5","CCN5"
"gene-CD2|CD2","CD2"
"gene-MGAT3|MGAT3","MGAT3"
"gene-TAOK1|TAOK1","TAOK1"
"gene-EHBP1|EHBP1","EHBP1"
"gene-SOS2|SOS2","SOS2"
"gene-PRPSAP2|PRPSAP2","PRPSAP2"
"gene-PLEKHA2|PLEKHA2","PLEKHA2"
"gene-MITF|MITF","MITF"
"gene-TOP2B|TOP2B","TOP2B"
"gene-TOX2|TOX2","TOX2"
"gene-SHMT2|SHMT2","SHMT2"
"gene-IDUA|IDUA","IDUA"
"gene-DARS1|DARS1","DARS1"
"gene-SPTLC2|SPTLC2","SPTLC2"
"gene-LOC115496454|LOC115496454","LOC115496454"
"gene-LOC105759491|LOC105759491","LOC105759491"
"gene-STX17|STX17","STX17"
"gene-LOC115498553|LOC115498553","LOC115498553"
"gene-CTDP1|CTDP1","CTDP1"
"gene-PTPRCAP|PTPRCAP","PTPRCAP"
"gene-PCLAF|PCLAF","PCLAF"
"gene-KCTD3|KCTD3","KCTD3"
"gene-LACTB2|LACTB2","LACTB2"
"gene-LOC105759175|LOC105759175","LOC105759175"
"gene-CYP27A1|CYP27A1","CYP27A1"
"gene-BLVRA|BLVRA","BLVRA"
"gene-TUBAL3|TUBAL3","TUBAL3"
"gene-ARHGAP22|ARHGAP22","ARHGAP22"
"gene-NADK2|NADK2","NADK2"
"gene-ARHGEF18|ARHGEF18","ARHGEF18"
"gene-LOC115494366|LOC115494366","LOC115494366"
"gene-LOC100225213|LOC100225213","LOC100225213"
"gene-GATD1|GATD1","GATD1"
"gene-LOC115491394|LOC115491394","LOC115491394"
"gene-RNF38|RNF38","RNF38"
"gene-SEPTIN7|SEPTIN7","SEPTIN7"
"gene-ABRACL|ABRACL","ABRACL"
"gene-APOOL|APOOL","APOOL"
"gene-LOC105758914|LOC105758914","LOC105758914"
"gene-DNTT|DNTT","DNTT"
"gene-SSBP2|SSBP2","SSBP2"
"gene-RB1CC1|RB1CC1","RB1CC1"
"gene-ACTMAP|ACTMAP","ACTMAP"
