"GeneID","Symbol"
"gene-DNAJC6|DNAJC6","DNAJC6"
"gene-LOC140685091|LOC140685091","LOC140685091"
"gene-LOC115497642|LOC115497642","LOC115497642"
"gene-CUX2|CUX2","CUX2"
"gene-LOC115493837|LOC115493837","LOC115493837"
"gene-SLC29A1|SLC29A1","SLC29A1"
"gene-STIP1|STIP1","STIP1"
"gene-LOC140684571|LOC140684571","LOC140684571"
"gene-LOC115498119|LOC115498119","LOC115498119"
"gene-LOC140685090|LOC140685090","LOC140685090"
"gene-GINS4|GINS4","GINS4"
"gene-LOC100231542|LOC100231542","LOC100231542"
"gene-GLA|GLA","GLA"
"gene-MAP1A|MAP1A","MAP1A"
"gene-LOC121471105|LOC121471105","LOC121471105"
"gene-LOC115491073|LOC115491073","LOC115491073"
"gene-CADM4|CADM4","CADM4"
"gene-LOC140684795|LOC140684795","LOC140684795"
"gene-MEIKIN|MEIKIN","MEIKIN"
"gene-LOC140685266|LOC140685266","LOC140685266"
"gene-LOC116806917|LOC116806917","LOC116806917"
"gene-LOC100220107|LOC100220107","LOC100220107"
"gene-IQCH|IQCH","IQCH"
"gene-ZNF346|ZNF346","ZNF346"
"gene-ADAMTS3|ADAMTS3","ADAMTS3"
"gene-LOC140684701|LOC140684701","LOC140684701"
"gene-LOC140685096|LOC140685096","LOC140685096"
"gene-OSGIN2|OSGIN2","OSGIN2"
"gene-LOC115496608|LOC115496608","LOC115496608"
"gene-LOC121470314|LOC121470314","LOC121470314"
"gene-DDX18|DDX18","DDX18"
"gene-RC3H1|RC3H1","RC3H1"
"gene-DNAJC12|DNAJC12","DNAJC12"
"gene-LOC115496478|LOC115496478","LOC115496478"
"gene-VMA21|VMA21","VMA21"
"gene-FKRP|FKRP","FKRP"
"gene-CCDC39|CCDC39","CCDC39"
"gene-GRIN3B|GRIN3B","GRIN3B"
"gene-ENTPD1|ENTPD1","ENTPD1"
"gene-TMEM150C|TMEM150C","TMEM150C"
"gene-B3GALT9|B3GALT9","B3GALT9"
"gene-LOC101233072|LOC101233072","LOC101233072"
"gene-PMAIP1|PMAIP1","PMAIP1"
"gene-RNF24|RNF24","RNF24"
"gene-LOC100223967|LOC100223967","LOC100223967"
"gene-LOC140682498|LOC140682498","LOC140682498"
"gene-LOC101232903|LOC101232903","LOC101232903"
"gene-HAS3|HAS3","HAS3"
"gene-CTSZ|CTSZ","CTSZ"
"gene-LOC140684013|LOC140684013","LOC140684013"
"gene-LOC140682073|LOC140682073","LOC140682073"
"gene-LOC140682601|LOC140682601","LOC140682601"
"gene-LOC140683515|LOC140683515","LOC140683515"
"gene-LOC140684268|LOC140684268","LOC140684268"
"gene-LATS1|LATS1","LATS1"
"gene-DCTN4|DCTN4","DCTN4"
"gene-LOC115491367|LOC115491367","LOC115491367"
"gene-FAM83H|FAM83H","FAM83H"
"gene-SP7|SP7","SP7"
"gene-LIF|LIF","LIF"
"gene-ARVCF|ARVCF","ARVCF"
"gene-KCNJ9|KCNJ9","KCNJ9"
"gene-LOC100223160|LOC100223160","LOC100223160"
"gene-SKIC8|SKIC8","SKIC8"
"gene-LOC140683525|LOC140683525","LOC140683525"
"gene-FBLIM1|FBLIM1","FBLIM1"
"gene-LOC140681737|LOC140681737","LOC140681737"
"gene-LOC140680829|LOC140680829","LOC140680829"
"gene-CYGB|CYGB","CYGB"
"gene-ERGIC1|ERGIC1","ERGIC1"
"gene-LOC115495104|LOC115495104","LOC115495104"
"gene-BEAN1|BEAN1","BEAN1"
"gene-KCNJ10|KCNJ10","KCNJ10"
"gene-HOXA7|HOXA7","HOXA7"
"gene-LOC121471032|LOC121471032","LOC121471032"
"gene-NACAD|NACAD","NACAD"
"gene-COA3|COA3","COA3"
"gene-LOC115490769|LOC115490769","LOC115490769"
"gene-LOC121469420|LOC121469420","LOC121469420"
"gene-LOC100232025|LOC100232025","LOC100232025"
"gene-LOC115490748|LOC115490748","LOC115490748"
"gene-LOC100230674|LOC100230674","LOC100230674"
"gene-PTPN1|PTPN1","PTPN1"
"gene-MEX3A|MEX3A","MEX3A"
"gene-LOC115495410|LOC115495410","LOC115495410"
"gene-KCTD4|KCTD4","KCTD4"
"gene-IFT57|IFT57","IFT57"
"gene-LOC140682313|LOC140682313","LOC140682313"
"gene-LOC140681745|LOC140681745","LOC140681745"
"gene-GRHL3|GRHL3","GRHL3"
"gene-LOC121469191|LOC121469191","LOC121469191"
"gene-NHEJ1|NHEJ1","NHEJ1"
"gene-CIAO1|CIAO1","CIAO1"
"gene-PRMT1|PRMT1","PRMT1"
"gene-LOC140682062|LOC140682062","LOC140682062"
"gene-FAM187A|FAM187A","FAM187A"
"gene-PARD6B|PARD6B","PARD6B"
"gene-GABARAP|GABARAP","GABARAP"
"gene-UBC|UBC","UBC"
"gene-NACC1|NACC1","NACC1"
"gene-LOC121468619|LOC121468619","LOC121468619"
"gene-LOC100228937|LOC100228937","LOC100228937"
"gene-WNT5B|WNT5B","WNT5B"
"gene-BRPF1|BRPF1","BRPF1"
"gene-ZBTB4|ZBTB4","ZBTB4"
"gene-LOC100224907|LOC100224907","LOC100224907"
"gene-LOC140682076|LOC140682076","LOC140682076"
"gene-LOC100220978|LOC100220978","LOC100220978"
"gene-CD14|CD14","CD14"
"gene-SLC26A6|SLC26A6","SLC26A6"
"gene-PDE1B|PDE1B","PDE1B"
"gene-STX3|STX3","STX3"
"gene-CFAP54|CFAP54","CFAP54"
"gene-SNAI1|SNAI1","SNAI1"
"gene-LCA5|LCA5","LCA5"
"gene-RASSF6|RASSF6","RASSF6"
"gene-DIPK2B|DIPK2B","DIPK2B"
"gene-NOS1|NOS1","NOS1"
"gene-RECQL4|RECQL4","RECQL4"
"gene-CTSD|CTSD","CTSD"
"gene-LOC140681746|LOC140681746","LOC140681746"
"gene-BEST3|BEST3","BEST3"
"gene-NEFL|NEFL","NEFL"
"gene-ABCG4|ABCG4","ABCG4"
"gene-RRS1|RRS1","RRS1"
"gene-DNAI1|DNAI1","DNAI1"
"gene-LOC115491968|LOC115491968","LOC115491968"
"gene-LOC115498294|LOC115498294","LOC115498294"
"gene-ARHGEF38|ARHGEF38","ARHGEF38"
"gene-LOC140681760|LOC140681760","LOC140681760"
"gene-LOC140680441|LOC140680441","LOC140680441"
"gene-FAT2|FAT2","FAT2"
"gene-SF1|SF1","SF1"
"gene-LOC116808825|LOC116808825","LOC116808825"
"gene-LOC116807936|LOC116807936","LOC116807936"
"gene-SULT6B1|SULT6B1","SULT6B1"
"gene-DGUOK|DGUOK","DGUOK"
"gene-PLP1|PLP1","PLP1"
"gene-IKZF4|IKZF4","IKZF4"
"gene-ATG12|ATG12","ATG12"
"gene-LOC115496771|LOC115496771","LOC115496771"
