"GeneID","Cluster"
"gene-FAM20B|FAM20B",3
"gene-KIAA0040|KIAA0040",1
"gene-TF|TF",3
"gene-PFKL|PFKL",4
"gene-FARSB|FARSB",4
"gene-PDCD1|PDCD1",2
"gene-SLC12A9|SLC12A9",4
"gene-LOC105759524|LOC105759524",2
"gene-NCEH1|NCEH1",3
"gene-EIF5A2|EIF5A2",5
"gene-ARL14|ARL14",5
"gene-PKM|PKM",1
"gene-PPIB|PPIB",1
"gene-ANXA2|ANXA2",1
"gene-CCNB2|CCNB2",5
"gene-PDE8A|PDE8A",1
"gene-STARD5|STARD5",1
"gene-MCTP2|MCTP2",1
"gene-PLEKHO2|PLEKHO2",1
"gene-AAGAB|AAGAB",4
"gene-TLE3|TLE3",5
"gene-HYPK|HYPK",5
"gene-ESRP2|ESRP2",4
"gene-ST3GAL2|ST3GAL2",3
"gene-SLC38A7|SLC38A7",5
"gene-EXOSC6|EXOSC6",5
"gene-CENPT|CENPT",5
"gene-CDYL2|CDYL2",1
"gene-KLHL36|KLHL36",1
"gene-KIAA0513|KIAA0513",1
"gene-RGS9BP|RGS9BP",5
"gene-CEBPA|CEBPA",1
"gene-GPI|GPI",3
"gene-SS18L2|SS18L2",5
"gene-LOC100225286|LOC100225286",3
"gene-LOC121470571|LOC121470571",3
"gene-TMCC1|TMCC1",5
"gene-LOC105759267|LOC105759267",5
"gene-PLXND1|PLXND1",1
"gene-EOGT|EOGT",1
"gene-SUCLG2|SUCLG2",1
"gene-CAMK1|CAMK1",5
"gene-COPG1|COPG1",1
"gene-TKT|TKT",3
"gene-GNAI2|GNAI2",1
"gene-ISY1|ISY1",5
"gene-IQSEC1|IQSEC1",1
"gene-LOC100217705|LOC100217705",3
"gene-CSF1R|CSF1R",3
"gene-ANXA6|ANXA6",1
"gene-CCDC69|CCDC69",1
"gene-ADAM19|ADAM19",2
"gene-SH3PXD2B|SH3PXD2B",4
"gene-UBTD2|UBTD2",3
"gene-SH3TC2|SH3TC2",1
"gene-IL12B|IL12B",4
"gene-HSPA4|HSPA4",5
"gene-STING1|STING1",3
"gene-HSPA9|HSPA9",5
"gene-KNOP1|KNOP1",1
"gene-OTOA|OTOA",3
"gene-BHLHA15|BHLHA15",5
"gene-SUN1|SUN1",5
"gene-LOC115497277|LOC115497277",1
"gene-TRAP1|TRAP1",1
"gene-SEPTIN12|SEPTIN12",1
"gene-C14H8orf33|C14H8orf33",5
"gene-DRG1|DRG1",4
"gene-C15H12orf43|C15H12orf43",5
"gene-DYNLL1|DYNLL1",5
"gene-SLC25A1|SLC25A1",4
"gene-ALDH2|ALDH2",2
"gene-PPTC7|PPTC7",5
"gene-NCOR2|NCOR2",1
"gene-LOC140685191|LOC140685191",5
"gene-ABCA2|ABCA2",1
"gene-FUT7|FUT7",3
"gene-LOC100228280|LOC100228280",3
"gene-LOC100232025|LOC100232025",3
"gene-C8G|C8G",2
"gene-TRAF2|TRAF2",5
"gene-ANAPC2|ANAPC2",1
"gene-LRSAM1|LRSAM1",4
"gene-STXBP1|STXBP1",1
"gene-SH2D3C|SH2D3C",4
"gene-AGPAT2|AGPAT2",1
"gene-ENTR1|ENTR1",5
"gene-SNAPC4|SNAPC4",5
"gene-NACC2|NACC2",1
"gene-DENND1A|DENND1A",4
"gene-ZBTB26|ZBTB26",5
"gene-KCNJ2|KCNJ2",2
"gene-VCF1|VCF1",5
"gene-TBC1D16|TBC1D16",1
"gene-TIMP2|TIMP2",2
"gene-FASN|FASN",1
"gene-CEP95|CEP95",5
"gene-PIK3R5|PIK3R5",1
"gene-CYBC1|CYBC1",1
"gene-JMJD6|JMJD6",5
"gene-TSEN54|TSEN54",5
"gene-TMEM94|TMEM94",4
"gene-ABCC3|ABCC3",3
"gene-TEKT1|TEKT1",1
"gene-KIAA0753|KIAA0753",5
"gene-AKAP1|AKAP1",5
"gene-MRPS23|MRPS23",5
"gene-MED13|MED13",5
"gene-LOC121470910|LOC121470910",1
"gene-ALDH3A2|ALDH3A2",1
"gene-PHF12|PHF12",5
"gene-ERAL1|ERAL1",5
"gene-ALDOC|ALDOC",1
"gene-POLDIP2|POLDIP2",4
"gene-GUSB|GUSB",2
"gene-CUX1|CUX1",1
"gene-LIMK1|LIMK1",4
"gene-RBM12|RBM12",5
"gene-LOC101232941|LOC101232941",2
"gene-KCNS1|KCNS1",2
"gene-YWHAB|YWHAB",1
"gene-SLC2A10|SLC2A10",1
"gene-MMP9|MMP9",2
"gene-DNTTIP1|DNTTIP1",1
"gene-CTSA|CTSA",2
"gene-ASXL1|ASXL1",5
"gene-HCK|HCK",2
"gene-LOC100219073|LOC100219073",3
"gene-LOC100231564|LOC100231564",2
"gene-LOC100228682|LOC100228682",1
"gene-DNAJC5|DNAJC5",1
"gene-RGS19|RGS19",1
"gene-PPP1R3D|PPP1R3D",1
"gene-ADNP|ADNP",5
"gene-CEBPB|CEBPB",2
"gene-UBE2V1|UBE2V1",4
"gene-SPATA2|SPATA2",5
"gene-B3GALT6|B3GALT6",5
"gene-ENO1|ENO1",1
"gene-TMEM201|TMEM201",5
"gene-GNB1|GNB1",1
"gene-ACAP3|ACAP3",1
"gene-UBIAD1|UBIAD1",5
"gene-ARHGEF10L|ARHGEF10L",4
"gene-C1QB|C1QB",3
"gene-C1QC|C1QC",1
"gene-AP3M2|AP3M2",5
"gene-ERLIN2|ERLIN2",5
"gene-LOC115498164|LOC115498164",2
"gene-DBNL|DBNL",4
"gene-MTF1|MTF1",5
"gene-SNIP1|SNIP1",5
"gene-CSF3R|CSF3R",2
"gene-SH3BGRL3|SH3BGRL3",1
"gene-RPS6KA1|RPS6KA1",1
"gene-SYTL1|SYTL1",1
"gene-RCC1|RCC1",5
"gene-FABP3|FABP3",2
"gene-PTPRU|PTPRU",1
"gene-CHEK1|CHEK1",5
"gene-NECTIN1|NECTIN1",1
"gene-DPAGT1|DPAGT1",5
"gene-SEMA4A|SEMA4A",1
"gene-MEF2D|MEF2D",4
"gene-SYT11|SYT11",5
"gene-ADAM15|ADAM15",1
"gene-TXNIP|TXNIP",5
"gene-LOC100223082|LOC100223082",3
"gene-LOC115498509|LOC115498509",2
"gene-NFYA|NFYA",5
"gene-TREM1|TREM1",2
"gene-RNPEP|RNPEP",2
"gene-TRIM33|TRIM33",5
"gene-MAPKAPK2|MAPKAPK2",1
"gene-RASSF5|RASSF5",1
"gene-IKBKE|IKBKE",1
"gene-LSM12|LSM12",5
"gene-VAT1|VAT1",1
"gene-PGAP3|PGAP3",4
"gene-LASP1|LASP1",5
"gene-TLK2|TLK2",5
"gene-MRC2|MRC2",1
"gene-MAP1S|MAP1S",1
"gene-JAK3|JAK3",1
"gene-MAU2|MAU2",5
"gene-LOC115490883|LOC115490883",3
"gene-SGTA|SGTA",4
"gene-TPM4|TPM4",1
"gene-IFI30|IFI30",1
"gene-ACSBG2|ACSBG2",2
"gene-MYO1F|MYO1F",1
"gene-MKNK2|MKNK2",5
"gene-MRPL54|MRPL54",1
"gene-DCTN2|DCTN2",2
"gene-ARF3|ARF3",1
"gene-LRP1|LRP1",2
"gene-SHMT2|SHMT2",4
"gene-STAT6|STAT6",4
"gene-ILF3|ILF3",1
"gene-C3|C3",1
"gene-LOC140681042|LOC140681042",4
"gene-LOC140681043|LOC140681043",4
"gene-G6PD|G6PD",2
"gene-LOC100221316|LOC100221316",1
"gene-LOC121468582|LOC121468582",4
"gene-TYROBP|TYROBP",4
"gene-LOC121468062|LOC121468062",1
"gene-LOC121468700|LOC121468700",1
"gene-LSM2|LSM2",1
"gene-LOC100227429|LOC100227429",1
"gene-LOC115493244|LOC115493244",1
"gene-LOC121468742|LOC121468742",1
"gene-LOC140681410|LOC140681410",1
"gene-LOC140681411|LOC140681411",1
"gene-LOC115493267|LOC115493267",1
"gene-LOC140681409|LOC140681409",1
"gene-LOC121468853|LOC121468853",1
"gene-LOC140681695|LOC140681695",5
"gene-TMEM175|TMEM175",1
"gene-GADD45G|GADD45G",5
"gene-SLC30A5|SLC30A5",5
"gene-ARRDC3|ARRDC3",5
"gene-PPIP5K2|PPIP5K2",1
"gene-MACIR|MACIR",4
"gene-LOC105760834|LOC105760834",5
"gene-APTX|APTX",5
"gene-DNAJA1|DNAJA1",5
"gene-SERF1A|SERF1A",5
"gene-ARK2C|ARK2C",4
"gene-PSTPIP2|PSTPIP2",3
"gene-LOC100221408|LOC100221408",1
"gene-LOC115491050|LOC115491050",2
"gene-CREB3|CREB3",1
"gene-LOC116806751|LOC116806751",2
"gene-ERCC8|ERCC8",4
"gene-LOC100190031|LOC100190031",5
"gene-HEXB|HEXB",1
"gene-KLF4|KLF4",1
"gene-LOC116806979|LOC116806979",4
"gene-LOC116806883|LOC116806883",5
"gene-LOC116806863|LOC116806863",4
