"GeneID","Symbol"
"gene-LOC115496315|LOC115496315","LOC115496315"
"gene-TRAF3IP1|TRAF3IP1","TRAF3IP1"
"gene-LOC100228631|LOC100228631","LOC100228631"
"gene-RPL14|RPL14","RPL14"
"gene-RASL10B|RASL10B","RASL10B"
"gene-ISYNA1|ISYNA1","ISYNA1"
"gene-NOP2|NOP2","NOP2"
"gene-FOS|FOS","FOS"
"gene-RILPL2|RILPL2","RILPL2"
"gene-TNFRSF8|TNFRSF8","TNFRSF8"
"gene-OARD1|OARD1","OARD1"
"gene-HTT|HTT","HTT"
"gene-PAFAH1B2|PAFAH1B2","PAFAH1B2"
"gene-LOC100225363|LOC100225363","LOC100225363"
"gene-ERAL1|ERAL1","ERAL1"
"gene-LOC100229115|LOC100229115","LOC100229115"
"gene-CYP2D6|CYP2D6","CYP2D6"
"gene-NAPB|NAPB","NAPB"
"gene-PDZK1IP1|PDZK1IP1","PDZK1IP1"
"gene-C2CD2L|C2CD2L","C2CD2L"
"gene-CHURC1|CHURC1","CHURC1"
"gene-CNBP|CNBP","CNBP"
"gene-UTP18|UTP18","UTP18"
"gene-LOC140685251|LOC140685251","LOC140685251"
"gene-BICDL1|BICDL1","BICDL1"
"gene-NKRF|NKRF","NKRF"
"gene-MAST3|MAST3","MAST3"
"gene-ARMC9|ARMC9","ARMC9"
"gene-LOC100224551|LOC100224551","LOC100224551"
"gene-LSM8|LSM8","LSM8"
"gene-OAZ1|OAZ1","OAZ1"
"gene-CHST4|CHST4","CHST4"
"gene-CAMSAP1|CAMSAP1","CAMSAP1"
"gene-OSTC|OSTC","OSTC"
"gene-HNRNPD|HNRNPD","HNRNPD"
"gene-SURF1|SURF1","SURF1"
"gene-GGNBP2|GGNBP2","GGNBP2"
"gene-RMI1|RMI1","RMI1"
"gene-LOC116809303|LOC116809303","LOC116809303"
"gene-IP6K2|IP6K2","IP6K2"
"gene-UBE4B|UBE4B","UBE4B"
"gene-HIF1AN|HIF1AN","HIF1AN"
"gene-GFM1|GFM1","GFM1"
"gene-KRTCAP3|KRTCAP3","KRTCAP3"
"gene-KDM3A|KDM3A","KDM3A"
"gene-CLK4|CLK4","CLK4"
"gene-TRMT2A|TRMT2A","TRMT2A"
"gene-ABCC2|ABCC2","ABCC2"
"gene-SCARF1|SCARF1","SCARF1"
"gene-C14H8orf33|C14H8orf33","C14H8orf33"
"gene-LOC115498310|LOC115498310","LOC115498310"
"gene-LOC115492572|LOC115492572","LOC115492572"
