"GeneID","Symbol"
"gene-DEGS1|DEGS1","DEGS1"
"gene-NISCH|NISCH","NISCH"
"gene-LOC115495659|LOC115495659","LOC115495659"
"gene-GLCCI1|GLCCI1","GLCCI1"
"gene-FKBP9|FKBP9","FKBP9"
"gene-TXNL4B|TXNL4B","TXNL4B"
"gene-LOC140684562|LOC140684562","LOC140684562"
"gene-PHETA1|PHETA1","PHETA1"
"gene-ATRX|ATRX","ATRX"
"gene-EHD4|EHD4","EHD4"
"gene-PIK3CA|PIK3CA","PIK3CA"
"gene-LOC100226365|LOC100226365","LOC100226365"
"gene-PPP4R3A|PPP4R3A","PPP4R3A"
"gene-BCL9|BCL9","BCL9"
"gene-PELO|PELO","PELO"
"gene-ANKRD54|ANKRD54","ANKRD54"
"gene-USP48|USP48","USP48"
"gene-LOC116806961|LOC116806961","LOC116806961"
"gene-TNKS2|TNKS2","TNKS2"
"gene-MYCBP|MYCBP","MYCBP"
"gene-CDHR5|CDHR5","CDHR5"
"gene-SLC25A6|SLC25A6","SLC25A6"
"gene-LOC140680661|LOC140680661","LOC140680661"
"gene-LOC115494498|LOC115494498","LOC115494498"
"gene-CERS3|CERS3","CERS3"
"gene-SLC40A1|SLC40A1","SLC40A1"
"gene-LOC140685228|LOC140685228","LOC140685228"
"gene-RAB18|RAB18","RAB18"
"gene-PRKAR2A|PRKAR2A","PRKAR2A"
"gene-LOC115495286|LOC115495286","LOC115495286"
"gene-CKS2|CKS2","CKS2"
"gene-HSPH1|HSPH1","HSPH1"
"gene-PIGF|PIGF","PIGF"
"gene-SMARCD3|SMARCD3","SMARCD3"
"gene-DOLK|DOLK","DOLK"
"gene-C2H6orf62|C2H6orf62","C2H6orf62"
"gene-LOC116806985|LOC116806985","LOC116806985"
"gene-LOC121469771|LOC121469771","LOC121469771"
"gene-LOC140680465|LOC140680465","LOC140680465"
"gene-LSM4|LSM4","LSM4"
"gene-GADD45B|GADD45B","GADD45B"
"gene-LOC140684767|LOC140684767","LOC140684767"
"gene-LOC115490831|LOC115490831","LOC115490831"
"gene-EIF4G2|EIF4G2","EIF4G2"
"gene-YPEL2|YPEL2","YPEL2"
"gene-BFAR|BFAR","BFAR"
"gene-ZNF507|ZNF507","ZNF507"
"gene-LOC116808958|LOC116808958","LOC116808958"
"gene-LOC140683664|LOC140683664","LOC140683664"
"gene-MIER1|MIER1","MIER1"
"gene-ERCC6L2|ERCC6L2","ERCC6L2"
"gene-CD47|CD47","CD47"
"gene-MTMR9|MTMR9","MTMR9"
"gene-LOC140684209|LOC140684209","LOC140684209"
"gene-LOC140680463|LOC140680463","LOC140680463"
"gene-LOC115491103|LOC115491103","LOC115491103"
"gene-LOC100222446|LOC100222446","LOC100222446"
"gene-JPT1|JPT1","JPT1"
"gene-LOC140682053|LOC140682053","LOC140682053"
"gene-LOC140684414|LOC140684414","LOC140684414"
"gene-LOC140683700|LOC140683700","LOC140683700"
"gene-IREB2|IREB2","IREB2"
"gene-LOC116806862|LOC116806862","LOC116806862"
"gene-LOC115498302|LOC115498302","LOC115498302"
"gene-LRRC72|LRRC72","LRRC72"
"gene-ZFAND2A|ZFAND2A","ZFAND2A"
"gene-KICS2|KICS2","KICS2"
"gene-SF3A1|SF3A1","SF3A1"
"gene-LOC140683827|LOC140683827","LOC140683827"
"gene-LOC116808100|LOC116808100","LOC116808100"
"gene-LOC115493337|LOC115493337","LOC115493337"
"gene-SLC25A38|SLC25A38","SLC25A38"
"gene-LOC115497886|LOC115497886","LOC115497886"
"gene-UBAP1|UBAP1","UBAP1"
"gene-CCDC117|CCDC117","CCDC117"
"gene-GUCY2C|GUCY2C","GUCY2C"
"gene-ATP6V0E1|ATP6V0E1","ATP6V0E1"
"gene-CAMK2G|CAMK2G","CAMK2G"
"gene-MYO5B|MYO5B","MYO5B"
"gene-PSAP|PSAP","PSAP"
"gene-CDCA2|CDCA2","CDCA2"
"gene-ITPKA|ITPKA","ITPKA"
"gene-LOC115497384|LOC115497384","LOC115497384"
"gene-GARRE1|GARRE1","GARRE1"
"gene-ATG14|ATG14","ATG14"
"gene-IHH|IHH","IHH"
