"Gene_ID","Module"
"gene-SLC22A15|SLC22A15","palevioletred3"
"gene-LOC140682598|LOC140682598","orangered4"
"gene-ATP1A1|ATP1A1","brown"
"gene-LOC140682605|LOC140682605","blue"
"gene-LOC101234149|LOC101234149","blue"
"gene-PLA1A|PLA1A","red"
"gene-LOC115493891|LOC115493891","darkgreen"
"gene-POPDC2|POPDC2","royalblue"
"gene-COX17|COX17","blue"
"gene-GPR156|GPR156","grey"
"gene-CFAP91|CFAP91","blue"
"gene-GSK3B|GSK3B","brown"
"gene-LRRC58|LRRC58","brown"
"gene-FSTL1|FSTL1","blue"
"gene-LOC115493915|LOC115493915","cyan"
"gene-NDUFB4|NDUFB4","yellow"
"gene-HGD|HGD","yellow"
"gene-RABL3|RABL3","royalblue"
"gene-GTF2E1|GTF2E1","brown"
"gene-LOC116807858|LOC116807858","black"
"gene-STXBP5L|STXBP5L","darkolivegreen"
"gene-POLQ|POLQ","blue"
"gene-METTL16|METTL16","red"
"gene-TNFRSF1A|TNFRSF1A","blue"
"gene-VTCN1|VTCN1","orangered4"
"gene-CTC1|CTC1","blue"
"gene-TRIM45|TRIM45","turquoise"
"gene-SPICE1|SPICE1","red"
"gene-SIDT1|SIDT1","tan"
"gene-USF3|USF3","turquoise"
"gene-NAA50|NAA50","green"
"gene-TENT5C|TENT5C","brown"
"gene-ATP6V1A|ATP6V1A","blue"
"gene-DUSP12|DUSP12","turquoise"
"gene-GDAP2|GDAP2","brown"
"gene-WDR3|WDR3","grey60"
"gene-WARS2|WARS2","red"
"gene-HAO2|HAO2","grey"
"gene-HSD3B1|HSD3B1","grey"
"gene-CD86|CD86","blue"
"gene-MAN1A2|MAN1A2","brown"
"gene-FBXO40|FBXO40","steelblue"
"gene-SCNN1A|SCNN1A","grey"
"gene-CSTB|CSTB","grey"
"gene-LOC100228799|LOC100228799","blue"
"gene-MIX23|MIX23","grey"
"gene-FAM162A|FAM162A","yellow"
"gene-KPNA1|KPNA1","brown"
"gene-VAMP1|VAMP1","grey"
"gene-NCAPD2|NCAPD2","green"
"gene-MRPL51|MRPL51","pink"
"gene-LOC140682653|LOC140682653","turquoise"
"gene-IFFO1|IFFO1","blue"
"gene-NOP2|NOP2","thistle2"
"gene-GAPDH|GAPDH","yellow"
"gene-LPAR5|LPAR5","blue"
"gene-ACRBP|ACRBP","cyan"
"gene-ING4|ING4","grey"
"gene-CHD4|CHD4","brown"
"gene-ZNF384|ZNF384","brown"
"gene-LAG3|LAG3","blue"
"gene-CD4|CD4","blue"
"gene-GPR162|GPR162","blue"
"gene-CDCA3|CDCA3","blue"
"gene-P3H3|P3H3","mediumpurple3"
"gene-GNB3|GNB3","grey"
"gene-PIANP|PIANP","brown"
"gene-COPS7A|COPS7A","green"
"gene-MLF2|MLF2","yellow"
"gene-LOC116807936|LOC116807936","greenyellow"
"gene-LOC100190249|LOC100190249","green"
"gene-ATN1|ATN1","cyan"
"gene-USP5|USP5","brown"
"gene-TPI1|TPI1","yellow"
"gene-LRRC23|LRRC23","darkolivegreen"
"gene-C1H12orf57|C1H12orf57","grey60"
"gene-PTPN6|PTPN6","blue"
"gene-PHB2|PHB2","purple"
"gene-EMG1|EMG1","blue"
"gene-LPCAT3|LPCAT3","green"
"gene-C1S|C1S","darkorange"
"gene-C1R|C1R","brown"
"gene-RBP5|RBP5","grey"
"gene-CLSTN3|CLSTN3","brown"
"gene-LOC100221073|LOC100221073","salmon"
"gene-LOC100226894|LOC100226894","blue"
"gene-PEX5|PEX5","green"
"gene-CLCN1|CLCN1","darkolivegreen"
"gene-ZYX|ZYX","blue"
"gene-FAM131B|FAM131B","blue"
"gene-EPHA1|EPHA1","grey"
"gene-CASP2|CASP2","blue"
"gene-TMEM139|TMEM139","violet"
"gene-LOC100230753|LOC100230753","tan"
"gene-GSTK1|GSTK1","magenta"
"gene-KEL|KEL","skyblue3"
"gene-EPHB6|EPHB6","darkturquoise"
"gene-LOC100224083|LOC100224083","tan"
"gene-LOC101233739|LOC101233739","blue"
"gene-LOC140683595|LOC140683595","blue"
"gene-LOC115497448|LOC115497448","blue"
"gene-LOC100221157|LOC100221157","tan"
"gene-LOC115497447|LOC115497447","blue"
"gene-LOC121469592|LOC121469592","blue"
"gene-LOC101233700|LOC101233700","blue"
"gene-CRACR2A|CRACR2A","midnightblue"
"gene-PARP11|PARP11","purple"
"gene-TEAD4|TEAD4","grey"
"gene-TULP3|TULP3","turquoise"
"gene-TSPAN9|TSPAN9","blue"
"gene-FOXM1|FOXM1","blue"
"gene-RHNO1|RHNO1","blue"
"gene-NRIP2|NRIP2","turquoise"
"gene-ITFG2|ITFG2","brown"
"gene-LOC140683648|LOC140683648","grey"
"gene-FKBP4|FKBP4","purple"
"gene-TCAF2|TCAF2","black"
"gene-LOC101233542|LOC101233542","blue"
"gene-LOC115494350|LOC115494350","blue"
"gene-LOC101233523|LOC101233523","blue"
"gene-LOC101233586|LOC101233586","blue"
"gene-NECAP1|NECAP1","brown"
"gene-C3AR1|C3AR1","blue"
"gene-FOXJ2|FOXJ2","turquoise"
"gene-LOC100224972|LOC100224972","blue"
"gene-MFAP5|MFAP5","orangered4"
"gene-LOC101233449|LOC101233449","brown"
"gene-LOC100225878|LOC100225878","grey"
"gene-RIMKLB|RIMKLB","greenyellow"
"gene-LOC100228861|LOC100228861","grey"
"gene-LOC100231773|LOC100231773","magenta"
"gene-LOC100219283|LOC100219283","purple"
"gene-LOC100226970|LOC100226970","blue"
"gene-LOC115494384|LOC115494384","midnightblue"
