"GeneID","Symbol"
"gene-SLC24A3|SLC24A3","SLC24A3"
"gene-LOC100217895|LOC100217895","LOC100217895"
"gene-KCNMB1|KCNMB1","KCNMB1"
"gene-PPTC7|PPTC7","PPTC7"
"gene-GPT|GPT","GPT"
"gene-LEAP2|LEAP2","LEAP2"
"gene-PROM1|PROM1","PROM1"
"gene-ATAD2B|ATAD2B","ATAD2B"
"gene-FABP1|FABP1","FABP1"
"gene-TRMT61A|TRMT61A","TRMT61A"
"gene-SPPL2A|SPPL2A","SPPL2A"
"gene-PLA2G7|PLA2G7","PLA2G7"
"gene-BCO1|BCO1","BCO1"
"gene-ACOT13|ACOT13","ACOT13"
"gene-YES1|YES1","YES1"
"gene-CA5A|CA5A","CA5A"
"gene-TRMT10C|TRMT10C","TRMT10C"
"gene-PHF14|PHF14","PHF14"
"gene-DBI|DBI","DBI"
"gene-TAPT1|TAPT1","TAPT1"
"gene-OPA1|OPA1","OPA1"
"gene-YWHAZ|YWHAZ","YWHAZ"
"gene-LOC100229817|LOC100229817","LOC100229817"
"gene-CFAP100|CFAP100","CFAP100"
"gene-LOC100190505|LOC100190505","LOC100190505"
"gene-LOC100220322|LOC100220322","LOC100220322"
"gene-CMSS1|CMSS1","CMSS1"
"gene-LOC100190249|LOC100190249","LOC100190249"
"gene-RHOT1|RHOT1","RHOT1"
"gene-LBHD2|LBHD2","LBHD2"
"gene-IGSF5|IGSF5","IGSF5"
"gene-GGACT|GGACT","GGACT"
"gene-HDHD2|HDHD2","HDHD2"
"gene-LOC100227970|LOC100227970","LOC100227970"
"gene-SHTN1|SHTN1","SHTN1"
"gene-TSC2|TSC2","TSC2"
"gene-USP2|USP2","USP2"
"gene-RMDN1|RMDN1","RMDN1"
"gene-ACAT2|ACAT2","ACAT2"
"gene-PRKN|PRKN","PRKN"
"gene-EAF2|EAF2","EAF2"
"gene-SCD|SCD","SCD"
"gene-SDHAF3|SDHAF3","SDHAF3"
"gene-LYPLA1|LYPLA1","LYPLA1"
"gene-LOC140680475|LOC140680475","LOC140680475"
"gene-SLC25A26|SLC25A26","SLC25A26"
"gene-DLAT|DLAT","DLAT"
"gene-SEC61A2|SEC61A2","SEC61A2"
"gene-LOC100228673|LOC100228673","LOC100228673"
"gene-HACD3|HACD3","HACD3"
"gene-UBXN4|UBXN4","UBXN4"
"gene-ANKRD27|ANKRD27","ANKRD27"
"gene-FAHD1|FAHD1","FAHD1"
"gene-DESI2|DESI2","DESI2"
"gene-GADD45A|GADD45A","GADD45A"
"gene-RAPGEF2|RAPGEF2","RAPGEF2"
"gene-COMT|COMT","COMT"
"gene-LOC140683797|LOC140683797","LOC140683797"
"gene-ESR2|ESR2","ESR2"
"gene-PEX7|PEX7","PEX7"
"gene-LOC140684646|LOC140684646","LOC140684646"
"gene-LONRF3|LONRF3","LONRF3"
"gene-LOC121468025|LOC121468025","LOC121468025"
"gene-LOC115496050|LOC115496050","LOC115496050"
"gene-CEP95|CEP95","CEP95"
"gene-LOC115496160|LOC115496160","LOC115496160"
"gene-DAP|DAP","DAP"
"gene-SYPL2|SYPL2","SYPL2"
"gene-ACSS3|ACSS3","ACSS3"
"gene-LOC121469778|LOC121469778","LOC121469778"
"gene-SYT17|SYT17","SYT17"
"gene-QRSL1|QRSL1","QRSL1"
"gene-B4GALT4|B4GALT4","B4GALT4"
"gene-EIF4EBP1|EIF4EBP1","EIF4EBP1"
