"GeneID","Symbol"
"gene-LOC115496969|LOC115496969","LOC115496969"
"gene-ACTG1|ACTG1","ACTG1"
"gene-TNPO2|TNPO2","TNPO2"
"gene-LOC115497347|LOC115497347","LOC115497347"
"gene-SNX21|SNX21","SNX21"
"gene-CDCA7|CDCA7","CDCA7"
"gene-TBC1D24|TBC1D24","TBC1D24"
"gene-AMD1|AMD1","AMD1"
"gene-CRAT|CRAT","CRAT"
"gene-BICD2|BICD2","BICD2"
"gene-LOC140683873|LOC140683873","LOC140683873"
"gene-TMEM161B|TMEM161B","TMEM161B"
"gene-MORN5|MORN5","MORN5"
"gene-INTS1|INTS1","INTS1"
"gene-BMS1|BMS1","BMS1"
"gene-GLG1|GLG1","GLG1"
"gene-LOC115498164|LOC115498164","LOC115498164"
"gene-SLC45A3|SLC45A3","SLC45A3"
"gene-MVB12B|MVB12B","MVB12B"
"gene-CDK6|CDK6","CDK6"
"gene-MAPK6|MAPK6","MAPK6"
"gene-STX17|STX17","STX17"
"gene-KCNK1|KCNK1","KCNK1"
"gene-SERBP1|SERBP1","SERBP1"
"gene-AKAP10|AKAP10","AKAP10"
"gene-MTM1|MTM1","MTM1"
"gene-DLG5|DLG5","DLG5"
"gene-ATP8A1|ATP8A1","ATP8A1"
"gene-NT5DC3|NT5DC3","NT5DC3"
"gene-RAB5A|RAB5A","RAB5A"
